date,open,high,low,close,volume
1553576400000,3941.3,3941.3,3941.3,3941.3,0.03426481
1553587200000,3929.9,3930,3929.9,3930,0.10232035
1553594400000,3928,3928,3928,3928,1.0313169
1553601600000,3917.6,3917.6,3906,3906,1.29834184
1553616000000,3940.2,3940.2,3940.2,3940.2,1.26871352
1553641200000,3944.9,3946.8,3944.9,3946.8,0.14482885
1553644800000,3948.7,3956.4,3948.7,3956.4,1.16741263
1553648400000,3965.8,3965.9,3965.8,3965.9,1.60330125
1553652000000,3980.1,3980.1,3980.1,3980.1,0.03042028
1553655600000,3994.1,3994.1,3990.4,3990.4,0.7879109799999999
1553659200000,3994.5,3994.5,3986.3,3986.3,14.48358173
1553677200000,3995.9,3995.9,3995.9,3995.9,0.031
1553680800000,3996.4,4039.7,3995.2,4022.2,14.215967
1553684400000,4021.8,4021.8,4021.8,4021.8,0.00245228
1553688000000,4028.9,4028.9,4028.9,4028.9,0.72984515
1553698800000,4018.8,4025.4,4018.8,4025.4,27.804100000000002
1553716800000,4022.3,4022.3,4022.2,4022.2,0.25307764
1553720400000,4027.1,4027.1,4027.1,4027.1,0.25226461
1553731200000,4025.2,4026.6,4025.2,4026.6,0.5405
1553734800000,4030.8,4030.8,4023.9,4023.9,1.05765032
1553738400000,4025,4025,4024.9,4025,0.23287955
1553760000000,4023.7,4023.7,4014.5,4014.5,0.57788501
1553767200000,4019,4024.3,4017.2,4017.2,0.649509
1553770800000,4012.7,4012.7,4012.7,4012.7,0.13399999
1553774400000,4013.2,4013.2,4013.2,4013.2,0.54003199
1553778000000,4024.6,4027.2,4024.6,4027.2,3.00533535
1553781600000,4026.8,4026.8,4026.8,4026.8,0.08133496
1553785200000,4023.6,4028,4023.6,4026.6,3.08980955
1553788800000,4024.7,4028.6,4024.7,4028.6,0.010942
1553803200000,4027.3,4027.3,4027.3,4027.3,0.19205391
1553806800000,4027.3,4027.3,4025.3,4025.3,0.1
1553814000000,4026.3,4026.3,4026.3,4026.3,0.015262
1553824800000,4032.6,4034.6,4032.6,4034.6,0.08736015999999999
1553832000000,4059.3,4059.3,4059.3,4059.3,0.16565687
1553835600000,4030.5,4030.5,4030.5,4030.5,0.02919999
1553842800000,4061.9,4061.9,4061.9,4061.9,0.01664159
1553850000000,4070.7,4093.2,4068,4082.9,3.44392832
1553853600000,4082.9,4096.8,4082.9,4088.7,0.38094243
1553857200000,4091.6,4117.5,4091.6,4117.5,4.00890129
1553860800000,4097.4,4101.1,4093.3,4093.3,0.038596000000000005
1553864400000,4091.9,4102.2,4091.9,4102.2,0.204309
1553868000000,4093.2,4094.5,4089.3,4089.3,0.01949435
1553871600000,4085.7,4093.6,4085.7,4087.9,0.05091905
1553875200000,4090.1,4092.7,4090.1,4092.7,0.0080824
1553882400000,4098.2,4098.2,4092.7,4098.2,4.01587855
1553893200000,4091.7,4091.7,4091.7,4091.7,0.0024
1553911200000,4119.2,4121.7,4118.2,4121.7,84.99678279
1553918400000,4094,4094,4052.4,4067,16.77552821
1553925600000,4102.9,4102.9,4102.9,4102.9,0.01884886
1553961600000,4077.3,4082.9,4077.3,4082.9,0.05769146
1553968800000,4080.2,4080.2,4080.2,4080.2,3.07797601
1553994000000,4104.9,4104.9,4098,4098,0.31164802
1554019200000,4088.4,4088.5,4088.4,4088.5,0.006892079999999999
1554033600000,4098.9,4100.9,4098.9,4100.9,0.53133341
1554058800000,4097.4,4100.3,4097.4,4100,0.19700134
1554062400000,4100,4100,4100,4100,0.00286836
